OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed;Mix;Color
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Australian Kelpie Mix;TRUE;Red
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Miniature Poodle Mix;TRUE;Black
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Medium Hair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Doberman Pinsch Mix;TRUE;Chocolate/Tan
Transfer;Dog;Intact Male;Male;Intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Chihuahua Shorthair Mix;TRUE;Tricolor
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Dachshund;FALSE;Tricolor
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;Blue Tabby/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Pit Bull Mix;TRUE;White/Tan
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Torbie
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Pit Bull/English Bulldog;FALSE;White/Brown
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund/Miniature Pinscher;FALSE;Black/Brown
Euthanasia;Dog;Intact Female;Female;Intact;12;years;year;12;Chihuahua Shorthair Mix;TRUE;White/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Chihuahua Shorthair Mix;TRUE;Black/Tan
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Orange Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Border Collie Mix;TRUE;Blue Merle/White
Euthanasia;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;German Shepherd/Chinese Sharpei;FALSE;Tan
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Dog;Intact Male;Male;Intact;4;months;month;0.333333333;Catahoula/Beagle;FALSE;White/Tan
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Rat Terrier Mix;TRUE;White/Black
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Brown Brindle/White
Transfer;Cat;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Domestic Shorthair Mix;TRUE;Orange Tabby
Return_to_owner;Dog;Intact Female;Female;Intact;3;years;year;3;Pit Bull Mix;TRUE;Brown
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Golden Retriever Mix;TRUE;Red
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Pointer Mix;TRUE;White/Brown
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;German Shepherd Mix;TRUE;Black/Brown
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Medium Hair Mix;TRUE;Calico
Adoption;Cat;Neutered Male;Male;Non-intact;6;years;year;6;Domestic Medium Hair Mix;TRUE;Brown Tabby/White
Adoption;Cat;Spayed Female;Female;Non-intact;7;years;year;7;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Chihuahua Shorthair Mix;TRUE;Brown
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Australian Shepherd;FALSE;Black/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;13;years;year;13;Cardigan Welsh Corgi/Jack Russell Terrier;FALSE;Black
Transfer;Dog;Intact Male;Male;Intact;0;years;year;0;Beagle/Chihuahua Shorthair;FALSE;White
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Catahoula Mix;TRUE;Black/White
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Dog;Spayed Female;Female;Non-intact;15;years;year;15;Dachshund Mix;TRUE;Black/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Yorkshire Terrier Mix;TRUE;Silver/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Pit Bull Mix;TRUE;Brown/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Tortie
Died;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;White/Black
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Blue Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Cairn Terrier Mix;TRUE;Gray
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Papillon Mix;TRUE;Black/White
Transfer;Cat;Spayed Female;Female;Non-intact;6;years;year;6;Domestic Longhair Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;German Shepherd;FALSE;Black/Tan
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;American Pit Bull Terrier Mix;TRUE;Blue Tick/White
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever Mix;TRUE;Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Havanese Mix;TRUE;White/Black
Euthanasia;Dog;Intact Male;Male;Intact;1;year;year;1;Pit Bull Mix;TRUE;Black/White
Return_to_owner;Dog;Intact Male;Male;Intact;3;years;year;3;Labrador Retriever Mix;TRUE;Black
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Chihuahua Shorthair Mix;TRUE;Brown/White
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd;FALSE;Sable
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Tan/White
Return_to_owner;Dog;Intact Male;Male;Intact;8;years;year;8;Boston Terrier Mix;TRUE;Black Brindle/White
Return_to_owner;Cat;Unknown;Unknown;Unknown;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Black
Return_to_owner;Dog;Intact Male;Male;Intact;8;years;year;8;Siberian Husky;FALSE;Black/White
Return_to_owner;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Cat;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Domestic Shorthair Mix;TRUE;Torbie
Transfer;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever/Pointer;FALSE;White/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Chihuahua Shorthair Mix;TRUE;Brown/White
Adoption;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Siamese Mix;TRUE;Seal Point
Euthanasia;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Miniature Schnauzer Mix;TRUE;Black/Tan
Adoption;Cat;Neutered Male;Male;Non-intact;8;years;year;8;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Norfolk Terrier/Dachshund;FALSE;Cream
Adoption;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Cocker Spaniel Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Border Collie/German Shepherd;FALSE;Black/Tricolor
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever Mix;TRUE;Yellow
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Queensland Heeler Mix;TRUE;White/Black
Transfer;Cat;Intact Female;Female;Intact;10;months;month;0.833333333;Domestic Shorthair Mix;TRUE;Black
Died;Cat;Spayed Female;Female;Non-intact;12;years;year;12;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Calico
Transfer;Cat;Unknown;Unknown;Unknown;1;day;day;0.002737851;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair Mix;TRUE;Black/White
Euthanasia;Cat;Neutered Male;Male;Non-intact;17;years;year;17;Domestic Shorthair Mix;TRUE;White/Blue
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Miniature Poodle Mix;TRUE;White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;American Pit Bull Terrier/Boxer;FALSE;Fawn/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever Mix;TRUE;Black
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair Mix;TRUE;White/Black
Transfer;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Medium Hair Mix;TRUE;Blue
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Golden Retriever Mix;TRUE;Buff/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Blue Tabby
Adoption;Dog;Intact Male;Male;Intact;1;year;year;1;Miniature Poodle/Golden Retriever;FALSE;White
Return_to_owner;Dog;Intact Female;Female;Intact;2;years;year;2;Australian Cattle Dog Mix;TRUE;Blue Merle
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever/Chesa Bay Retr;FALSE;Brown/White
Transfer;Cat;Unknown;Unknown;Unknown;2;days;day;0.005475702;Domestic Shorthair Mix;TRUE;White/Black
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Yorkshire Terrier Mix;TRUE;Tan/Silver
Transfer;Cat;Intact Male;Male;Intact;4;days;day;0.010951403;Domestic Medium Hair Mix;TRUE;Black
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Black
Return_to_owner;Dog;Intact Male;Male;Intact;7;years;year;7;Rat Terrier Mix;TRUE;Tricolor
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Staffordshire Mix;TRUE;Chocolate
Return_to_owner;Dog;Intact Male;Male;Intact;12;years;year;12;Chihuahua Longhair Mix;TRUE;Buff
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Snowshoe Mix;TRUE;Seal Point
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair Mix;TRUE;Orange Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Rottweiler Mix;TRUE;Black/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Pug Mix;TRUE;Fawn/Black
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair Mix;TRUE;Brown Tabby/White
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Brittany/Labrador Retriever;FALSE;Red
Return_to_owner;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby
Died;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Pit Bull Mix;TRUE;Black Brindle/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Pit Bull Mix;TRUE;Brown Brindle/White
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Golden Retriever Mix;TRUE;Gold
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull Mix;TRUE;White/Brown
Transfer;Cat;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever Mix;TRUE;Black
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Labrador Retriever/Beagle;FALSE;White/Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;8;months;month;0.666666667;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Norwegian Elkhound Mix;TRUE;Black
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull Mix;TRUE;Brown Brindle/White
Return_to_owner;Dog;Intact Female;Female;Intact;9;years;year;9;Pit Bull Mix;TRUE;Tan/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Tortie
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever Mix;TRUE;Brown
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair;FALSE;Brown Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Blue
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;11;years;year;11;Chow Chow Mix;TRUE;Gray
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Boston Terrier Mix;TRUE;Brown Brindle/White
Transfer;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pointer Mix;TRUE;Black/White
Transfer;Cat;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair Mix;TRUE;Brown Tabby/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Adoption;Dog;Spayed Female;Female;Non-intact;7;months;month;0.583333333;Chihuahua Shorthair/Welsh Terrier;FALSE;Black/Brown
Transfer;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Miniature Pinscher Mix;TRUE;Black/Brown
Euthanasia;Cat;Intact Female;Female;Intact;8;years;year;8;Domestic Shorthair Mix;TRUE;Tortie Point
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;American Bulldog Mix;TRUE;Blue/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Rat Terrier Mix;TRUE;White/Black
Transfer;Dog;Intact Male;Male;Intact;6;years;year;6;Greyhound;FALSE;Brown Brindle/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Australian Shepherd;FALSE;Tricolor
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;White/Black
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair/Domestic Medium Hair;FALSE;Black
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Border Collie Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;13;years;year;13;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Chihuahua Shorthair Mix;TRUE;White/Brown
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Siamese Mix;TRUE;Lilac Point
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Siamese Mix;TRUE;Lynx Point
Return_to_owner;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Pit Bull Mix;TRUE;Blue/White
Adoption;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Pit Bull Mix;TRUE;Red
Transfer;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Boxer;FALSE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Dachshund/Bloodhound;FALSE;Brown/White
Euthanasia;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Australian Cattle Dog Mix;TRUE;Blue Tick/White
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Plott Hound Mix;TRUE;Brown Brindle
Transfer;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Pit Bull Mix;TRUE;Blue
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Longhair Mix;TRUE;Orange Tabby
Transfer;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Treeing Walker Coonhound/Labrador Retriever;FALSE;Tan/Black
Transfer;Dog;Intact Female;Female;Intact;5;months;month;0.416666667;Plott Hound Mix;TRUE;Brown Brindle
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Cocker Spaniel;FALSE;Buff
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;St. Bernard Smooth Coat Mix;TRUE;Brown/White
Adoption;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Chihuahua Shorthair Mix;TRUE;White/Black
Transfer;Cat;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Domestic Shorthair Mix;TRUE;Orange Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever/Australian Cattle Dog;FALSE;White/Brown
Transfer;Dog;Intact Female;Female;Intact;6;months;month;0.5;Boxer;FALSE;Tan/White
Euthanasia;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair Mix;TRUE;Black
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Mastiff Mix;TRUE;Yellow Brindle/White
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Adoption;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Border Collie/Great Pyrenees;FALSE;Cream/White
Transfer;Dog;Intact Female;Female;Intact;4;months;month;0.333333333;Beagle Mix;TRUE;Black/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Jack Russell Terrier Mix;TRUE;White
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Cavalier Span Mix;TRUE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Miniature Poodle Mix;TRUE;Apricot
Adoption;Dog;Neutered Male;Male;Non-intact;7;months;month;0.583333333;Pointer Mix;TRUE;White/Black
Return_to_owner;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Bulldog Mix;TRUE;White/Black
Transfer;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Labrador Retriever/German Shepherd;FALSE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever Mix;TRUE;Brown/White
Adoption;Cat;Spayed Female;Female;Non-intact;3;years;year;3;Domestic Shorthair Mix;TRUE;Torbie
Transfer;Cat;Intact Male;Male;Intact;1;week;week;0.019230769;Domestic Shorthair Mix;TRUE;Black
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Australian Shepherd/Labrador Retriever;FALSE;Tan/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Cocker Spaniel Mix;TRUE;Red/Black
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Siamese Mix;TRUE;Lynx Point
Died;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chinese Sharpei/Great Dane;FALSE;Blue
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Border Collie Mix;TRUE;White/Black
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;German Shepherd Mix;TRUE;Brown/Black
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Chihuahua Shorthair/Cardigan Welsh Corgi;FALSE;Tan/White
Adoption;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Dachshund Mix;TRUE;Brown
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Pit Bull Mix;TRUE;White/Tan
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair Mix;TRUE;Orange Tabby/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;7;months;month;0.583333333;Dachshund/Beagle;FALSE;Tricolor
Transfer;Dog;Neutered Male;Male;Non-intact;10;years;year;10;Dachshund;FALSE;Tricolor
Adoption;Dog;Neutered Male;Male;Non-intact;7;months;month;0.583333333;American Pit Bull Terrier/Pointer;FALSE;Chocolate/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Plott Hound Mix;TRUE;Brown Brindle/White
Adoption;Dog;Neutered Male;Male;Non-intact;8;years;year;8;Chihuahua Shorthair Mix;TRUE;Tricolor
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Chihuahua Shorthair/Rat Terrier;FALSE;White/Black
Transfer;Cat;Intact Male;Male;Intact;6;months;month;0.5;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Blue Tabby/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Brown
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Border Collie Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Catahoula Mix;TRUE;Red Merle/White
Transfer;Dog;Intact Male;Male;Intact;5;days;day;0.013689254;Pit Bull Mix;TRUE;Fawn
Transfer;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;German Shepherd Mix;TRUE;Black/Tan
Transfer;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Plott Hound Mix;TRUE;Brown Brindle/White
Return_to_owner;Dog;Intact Male;Male;Intact;1;year;year;1;Pit Bull Mix;TRUE;Brown Brindle/White
Adoption;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Plott Hound Mix;TRUE;Brown Brindle/White
Adoption;Cat;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Cat;Intact Female;Female;Intact;6;months;month;0.5;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Beagle Mix;TRUE;Tricolor
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Died;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Black/White
Died;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Dog;Intact Male;Male;Intact;2;days;day;0.005475702;German Shepherd Mix;TRUE;Chocolate
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Medium Hair Mix;TRUE;Torbie
Euthanasia;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Pit Bull Mix;TRUE;Brown/White
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dalmatian Mix;TRUE;White/Black
Euthanasia;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Medium Hair Mix;TRUE;Brown Tabby/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Great Dane Mix;TRUE;Black/White
Transfer;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Labrador Retriever Mix;TRUE;Brown/Black
Transfer;Cat;Intact Female;Female;Intact;10;months;month;0.833333333;Domestic Shorthair Mix;TRUE;Torbie/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Great Pyrenees Mix;TRUE;White
