OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Transfer;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Red;;White;
Transfer;Cat;Intact Female;Female;Intact;1;week;week;0.019230769;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Yellow;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Anatol Shepherd;Labrador Retriever;FALSE;Brown;Brindle;White;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Blue;;White;
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;Golden Retriever;;FALSE;Red;;;
Euthanasia;Dog;Unknown;Unknown;Unknown;9;months;month;0.75;Chihuahua Shorthair ;;TRUE;Tan;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;11;years;year;11;Labrador Retriever ;;TRUE;Black;;White;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Pit Bull ;;TRUE;Chocolate;;;
Adoption;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Chihuahua Shorthair;;FALSE;Tan;;White;
Euthanasia;Dog;Intact Male;Male;Intact;6;years;year;6;Pit Bull ;;TRUE;White;;Brown;
Transfer;Cat;Intact Female;Female;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Torbie;;;
Transfer;Dog;Intact Female;Female;Intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Red;;;
Transfer;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Dachshund;Chihuahua Shorthair;FALSE;Brown;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Dachshund ;;TRUE;Black;;White;
Transfer;Dog;Intact Female;Female;Intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Black;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Cattle Dog;Plott Hound;FALSE;Brown;Brindle;White;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Tan;;White;
Euthanasia;Cat;Intact Male;Male;Intact;3;years;year;3;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Pit Bull ;;TRUE;White;;Brown;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Chihuahua Shorthair ;;TRUE;Brown;;White;
Transfer;Cat;Unknown;Unknown;Unknown;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Rat Terrier ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;7;months;month;0.583333333;Siberian Husky ;;TRUE;White;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;Chow Chow;FALSE;Red;;White;
Euthanasia;Cat;Intact Female;Female;Intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Neutered Male;Male;Non-intact;15;years;year;15;Domestic Shorthair ;;TRUE;Black;Smoke;;
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Lhasa Apso;;FALSE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Cat;Spayed Female;Female;Non-intact;10;years;year;10;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Euthanasia;Dog;Intact Male;Male;Intact;9;years;year;9;Pit Bull ;;TRUE;Blue;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;8;months;month;0.666666667;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Gray;;Black;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;White;;Blue;
Return_to_owner;Dog;Intact Female;Female;Intact;1;year;year;1;Pit Bull;;FALSE;Brown;Brindle;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Boxer ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Siamese ;;TRUE;Flame Point;;;
Euthanasia;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Pit Bull ;;TRUE;Brown;Brindle;White;
Euthanasia;Cat;Intact Female;Female;Intact;9;months;month;0.75;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Dog;Intact Male;Male;Intact;6;months;month;0.5;Dutch Shepherd ;;TRUE;Black;Brindle;White;
Transfer;Dog;Intact Male;Male;Intact;5;years;year;5;Boerboel ;;TRUE;Brown;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Greyhound ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Flame Point;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Staffordshire ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Bichon Frise ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Canaan Dog ;;TRUE;Red;;Brown;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Medium Hair ;;TRUE;Blue;Cream;;
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;White;;Black;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Pug;Chihuahua Shorthair;FALSE;Tricolor;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Border Terrier ;;TRUE;Tan;;Black;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Brown;Brindle;White;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pekingese;Pug;FALSE;White;;Red;Tick
Return_to_owner;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Medium Hair ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Jack Russell Terrier ;;TRUE;Tan;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Euthanasia;Dog;Intact Female;Female;Intact;3;years;year;3;Pit Bull ;;TRUE;White;;Brown;
Adoption;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;German Shepherd ;;TRUE;Black;;Brown;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Tricolor;;Brown;
Transfer;Cat;Unknown;Unknown;Unknown;6;months;month;0.5;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Rat Terrier ;;TRUE;White;;Tricolor;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;German Shepherd ;;TRUE;Brown;;White;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Chihuahua Shorthair ;;TRUE;Brown;;;
Transfer;Cat;Intact Female;Female;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;Brown;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Labrador Retriever ;;TRUE;Black;;Blue;Tick
Adoption;Cat;Spayed Female;Female;Non-intact;11;years;year;11;Bombay ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Miniature Poodle;;FALSE;White;;;
Transfer;Cat;Unknown;Unknown;Unknown;6;years;year;6;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Harrier ;;TRUE;Brown;;White;
Transfer;Dog;Intact Female;Female;Intact;5;months;month;0.416666667;American Staffordshire Terrier ;;TRUE;Tan;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Australian Cattle Dog ;;TRUE;Red;Tick;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Rhod Ridgeback ;;TRUE;Brown;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Beagle ;;TRUE;Black;;Tricolor;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;Orange;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Maltese;Miniature Poodle;FALSE;Tan;;;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Euthanasia;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;White;;Black;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;years;year;10;German Shepherd;Australian Cattle Dog;FALSE;Sable;;;
Transfer;Dog;Spayed Female;Female;Non-intact;11;months;month;0.916666667;Miniature Poodle ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Pit Bull ;;TRUE;Tan;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Pit Bull ;;TRUE;Fawn;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Rat Terrier;Chihuahua Shorthair;FALSE;White;;Chocolate;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Chihuahua Shorthair ;;TRUE;Sable;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Torbie;;;
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Boxer ;;TRUE;Brown;Brindle;;
Transfer;Cat;Intact Female;Female;Intact;9;months;month;0.75;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Intact Female;Female;Intact;3;months;month;0.25;Whippet ;;TRUE;Tan;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;German Shepherd ;;TRUE;Tan;;;
Transfer;Dog;Intact Female;Female;Intact;12;years;year;12;Chihuahua Shorthair ;;TRUE;White;;Brown;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Shepherd ;;TRUE;Tricolor;;;
Transfer;Cat;Intact Male;Male;Intact;1;weeks;week;0.019230769;Manx ;;TRUE;Orange;Tabby;White;
Transfer;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Blue;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Norwich Terrier ;;TRUE;Red;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Siberian Husky;Border Collie;FALSE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Cat;Unknown;Unknown;Unknown;3;days;day;0.008213552;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;10;months;month;0.833333333;Catahoula ;;TRUE;Red;;White;
Transfer;Dog;Intact Male;Male;Intact;3;months;month;0.25;Labrador Retriever;Australian Shepherd;FALSE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Black;Tan Hound Mix;TRUE;Black;;Tan;
Transfer;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Cream;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;German Shepherd ;;TRUE;Black;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair;Australian Cattle Dog;FALSE;Red;Merle;White;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Yorkshire Terrier ;;TRUE;Sable;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;White;;;
Transfer;Dog;Intact Male;Male;Intact;11;months;month;0.916666667;Chihuahua Shorthair ;;TRUE;Tan;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Siamese ;;TRUE;Lynx Point;;;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Doberman Pinsch ;;TRUE;Black;;Orange;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Australian Cattle Dog ;;TRUE;Blue;Merle;;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;White;;Brown;Tabby
Return_to_owner;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Medium Hair ;;TRUE;Black;;;
Transfer;Dog;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Labrador Retriever ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;11;years;year;11;Beagle ;;TRUE;Black;;Tricolor;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Neutered Male;Male;Non-intact;10;years;year;10;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Shorthair;;FALSE;Blue;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Toy Poodle ;;TRUE;White;;Black;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Medium Hair ;;TRUE;Blue;;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Australian Kelpie ;;TRUE;Black;;;
Transfer;Cat;Unknown;Unknown;Unknown;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Border Terrier ;;TRUE;White;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Australian Cattle Dog;Akita;FALSE;Red;;White;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Neutered Male;Male;Non-intact;9;months;month;0.75;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Chihuahua Shorthair;Dachshund;FALSE;White;;Black;
Return_to_owner;Dog;Intact Male;Male;Intact;14;years;year;14;Lhasa Apso;;FALSE;Tan;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;10;years;year;10;Boston Terrier;;FALSE;Brown;Brindle;White;
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Manx ;;TRUE;Torbie;;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Staffordshire;;FALSE;White;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;White;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;11;months;month;0.916666667;Labrador Retriever ;;TRUE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;10;years;year;10;Pit Bull ;;TRUE;Black;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;9;years;year;9;Pit Bull ;;TRUE;Red;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Tortie;;;
Euthanasia;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Dutch Shepherd ;;TRUE;Brown;Brindle;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Labrador Retriever ;;TRUE;Tan;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Cardigan Welsh Corgi;Pit Bull;FALSE;Tan;;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Labrador Retriever;;FALSE;Black;;;
Euthanasia;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Basset Hound ;;TRUE;Tricolor;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;years;year;10;Standard Poodle;;FALSE;Cream;;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Anatol Shepherd ;;TRUE;Brown;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;German Shepherd ;;TRUE;Brown;;Black;
Transfer;Cat;Unknown;Unknown;Unknown;3;years;year;3;Domestic Shorthair ;;TRUE;Silver;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Torbie;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Chihuahua Shorthair ;;TRUE;Brown;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Miniature Poodle ;;TRUE;White;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;White;;;
Transfer;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Border Collie ;;TRUE;Tricolor;;;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;White;;Orange;Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Tricolor;;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Domestic Shorthair;;FALSE;Brown;Tabby;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Dachshund;Chihuahua Shorthair;FALSE;Tan;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;1;year;year;1;Dachshund ;;TRUE;Brown;;;
Transfer;Dog;Intact Female;Female;Intact;1;week;week;0.019230769;German Shepherd ;;TRUE;Sable;;;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Rat Terrier ;;TRUE;White;;Tan;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Great Dane ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Australian Cattle Dog ;;TRUE;Tan;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Chihuahua Shorthair ;;TRUE;Red;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Blue Lacy;;FALSE;Blue;;Tan;
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Rhod Ridgeback ;;TRUE;Tan;;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Brown;;White;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;6;years;year;6;Domestic Shorthair ;;TRUE;Tortie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Siberian Husky ;;TRUE;Red;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Alaskan Malamute ;;TRUE;Gray;;;
Transfer;Dog;Intact Female;Female;Intact;3;weeks;week;0.057692308;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Blue;Cream;;
Transfer;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Plott Hound ;;TRUE;Brown;Brindle;Red;Tick
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;German Shepherd;Australian Cattle Dog;FALSE;White;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Siamese;Domestic Shorthair;FALSE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Brown;;;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Dachshund Wirehair;Chihuahua Shorthair;FALSE;White;;Tan;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Yorkshire Terrier ;;TRUE;Tan;;Gray;
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Pit Bull ;;TRUE;White;;Brown;Brindle
Transfer;Cat;Intact Female;Female;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Longhair ;;TRUE;Calico;;;
Transfer;Dog;Intact Male;Male;Intact;1;weeks;week;0.019230769;Chihuahua Shorthair;Jack Russell Terrier;FALSE;White;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Miniature Pinscher ;;TRUE;Black;;Tan;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;Collie Smooth;FALSE;Chocolate;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Staffordshire ;;TRUE;Blue;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;American Staffordshire Terrier ;;TRUE;Blue;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Cocker Spaniel ;;TRUE;Tan;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Australian Cattle Dog ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Boxer;Labrador Retriever;FALSE;Brown;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Labrador Retriever ;;TRUE;Chocolate;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Red;;White;
Transfer;Dog;Intact Female;Female;Intact;3;years;year;3;Yorkshire Terrier;Chihuahua Longhair;FALSE;Gray;;Black;
Transfer;Cat;Intact Female;Female;Intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
